ticker,target_date,label,sentiment_score,negative_share,positive_share,neutral_share,article_count,return,market_return,expected_return,abnormal_return,event_rows,log_article_count
HAG,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,-2.173998663640599,-0.0632489548518375,0.3910397660956788,-2.565038429736278,1,0.6931471805599453
HAG,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,-4.955969094846051,0.056439450727031965,0.5245173293375285,-5.480486424183579,1,0.6931471805599453
HBC,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,0.0,-0.0632489548518375,-0.08340891937141866,0.08340891937141866,1,0.6931471805599453
HCM,2022-10-04,neutral,0.0,0.0,0.0,1.0,1,-6.8245207900720954,-0.766896181146886,-1.0542115726926955,-5.7703092173794,1,0.6931471805599453
HCM,2022-10-06,neutral,0.0,0.0,0.0,1.0,1,-7.213331296345067,-2.7301377138083933,-4.354348722902234,-2.858982573442833,1,0.6931471805599453
HCM,2022-10-21,positive,1.0,0.0,1.0,0.0,1,-7.300705461133486,-3.7179432686273985,-6.014813701056096,-1.2858917600773898,1,0.6931471805599453
HCM,2022-10-25,neutral,0.0,0.0,0.0,1.0,1,3.656466909516499,1.1644157069949188,2.1922530138921292,1.4642138956243698,1,0.6931471805599453
HCM,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,6.61696528052891,0.056439450727031965,0.329785485557617,6.287179794971292,1,0.6931471805599453
HDB,2022-10-06,neutral,0.0,0.0,0.0,1.0,1,-1.8192047987278113,-2.7301377138083933,-2.8831187129676583,1.063913914239847,1,0.6931471805599453
HDC,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,-6.548863997389143,-0.4359493810874788,-0.7720971948580713,-5.776766802531071,1,0.6931471805599453
HPG,2022-10-05,neutral,0.0,0.0,0.0,1.0,1,1.789234818433529,2.393809318952159,2.3113419013347647,-0.5221070829012358,1,0.6931471805599453
HPG,2022-10-06,neutral,0.0,0.0,0.0,1.0,1,-6.448712179033163,-2.7301377138083933,-3.084949662955206,-3.363762516077957,1,0.6931471805599453
HPG,2022-10-24,neutral,0.0,0.0,0.0,1.0,4,-3.022452290872639,-3.3572947267802746,-3.745440896948727,0.7229886060760884,4,1.6094379124341003
HPG,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,-1.131923273993843,-0.4359493810874788,-0.6688221995757692,-0.4631010744180738,1,0.6931471805599453
HSG,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,-7.188722951331592,0.056439450727031965,-0.042653407683767214,-7.146069543647824,1,0.6931471805599453
ICT,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,1.80467824470735,-0.971887485170393,-0.2981719543500589,2.102850199057409,1,0.6931471805599453
ITA,2022-10-03,neutral,0.0,0.0,0.0,1.0,2,-7.1743904858841425,-4.117685220911394,-6.806985160714756,-0.3674053251693863,2,1.0986122886681098
ITA,2022-10-07,neutral,0.0,0.0,0.0,1.0,3,-7.121262822526423,-3.659378275894115,-6.113392612926644,-1.007870209599779,3,1.3862943611198906
ITA,2022-10-10,neutral,0.0,0.0,0.0,1.0,2,0.0,0.6322222377736505,0.3814296164231096,-0.3814296164231096,2,1.0986122886681098
ITA,2022-10-13,neutral,0.0,0.0,0.0,1.0,1,1.4670189747793838,1.5514742115514746,1.7726071350788093,-0.3055881602994255,1,0.6931471805599453
ITA,2022-10-17,neutral,0.2,0.0,0.0,1.0,5,0.0,-0.971887485170393,-2.0461978977671804,2.0461978977671804,5,1.791759469228055
