,coef,std_err,p_value
C(target_date)[T.Timestamp('2022-10-18 00:00:00')],2.001400847433606,2.0668103121910106,0.3328683740229179
C(target_date)[T.Timestamp('2022-10-19 00:00:00')],-1.2882904941829758,2.495866983658188,0.6057360076870244
C(target_date)[T.Timestamp('2022-10-20 00:00:00')],-2.8164480640165186,3.372925132906244,0.4037084308363659
C(target_date)[T.Timestamp('2022-10-21 00:00:00')],-1.7623975098761837,1.1935027848765534,0.13976686973169264
C(target_date)[T.Timestamp('2022-10-24 00:00:00')],-0.398422229190139,1.2502465208967735,0.7499730231696147
C(target_date)[T.Timestamp('2022-10-25 00:00:00')],0.5611813730444907,1.5384361400297668,0.7152801785576812
C(target_date)[T.Timestamp('2022-10-26 00:00:00')],-0.5799473761113411,1.1069749758343588,0.600346092717136
C(target_date)[T.Timestamp('2022-10-27 00:00:00')],1.0854126172248628,1.2190744426984648,0.37327371568862033
C(target_date)[T.Timestamp('2022-10-28 00:00:00')],-0.22403524062962563,1.45960624037757,0.878011725094728
C(target_date)[T.Timestamp('2022-10-31 00:00:00')],-0.35268117804502674,1.1640676274255535,0.7619103615630936
sentiment_score,4.440892098500626e-15,1.2603328885581493,0.9999999999999972
negative_share,-0.4821899752686918,1.775759420773117,0.7859756258262756
positive_share,0.9243158296368469,1.705841991149767,0.5879196842090488
log_article_count,1.4728115276552645,1.2080147922428681,0.22276832558491733
